"Chord","Key Strokes"
"   O LLLL","<Escape>"
"   N LLLL","<Delete>"
"   O LLLO","y"
"   N LLLO","<F7>"
"   O LLOL","+"
"   O LLOO","-"
"   N LLOO","<F3>"
"   S LLOO","_"
"   O LMMM","tion "
"   S LMMO","<CapsLock>"
"   N LMMO","<NumLock>"
"   O LMMO","<Return>"
"   S LMOO","<CapsLock>"
"   O LMOO","<CapsLock>"
"   O LMRO","*"
"   O LOLL","you"
"   N LOLL","<F11>"
"   O LOLO","k"
"   N LOLO","<F5>"
"   O LOOL","w"
"   N LOOL","<F9>"
"   O LOOM","<Right Ctrl>b</Right Ctrl>"
"   O LOOO","o"
"   N LOOO","<F1>"
"   O LOOR","\"
"   O MLLO","["
"   O MLOO","; "
"   O MMLO","{"
"   O MMMM","<Tab>"
"   N MMMM","0"
"   O MMMO","x"
"   N MMMO","7"
"   O MMOM","="
"   N MMOM","11"
"   O MMOO","."
"   N MMOO","3"
"   O MMRO","}"
"   O MOLL","<"
"   O MOLO","("
"   O MOMM","the"
"   N MOMM",","
"   O MOMO","l"
"   N MOMO","5"
"   O MOOL","p"
"   O MOOM","m"
"   N MOOM","9"
"   O MOOO","e"
"   N MOOO","1"
"   O MOOR","q"
"   O MORO",")"
"   O MORR",">"
"   O MROO",", "
"   O MRRO","]"
"   O MRRR"," and "
"   O OLLL","v"
"   N OLLL","<Insert>"
"   O OLLO","u"
"   N OLLO","<F6>"
"   O OLMO","?"
"   O OLOL","~"
"   N OLOL","<F10>"
"   O OLOO","r"
"   N OLOO","<F2>"
"   O OMLO","_"
"   O OMMM","g"
"   N OMMM","<Backspace>"
"   O OMMO","d"
"   N OMMO","6"
"   O OMOM","|"
"   N OMOM","10"
"   O OMOO","t"
"   N OMOO","2"
"   O OMRO","%"
"   O OOLL","@"
"   N OOLL","<F12>"
"   O OOLO","s"
"   N OOLO","<F4>"
"   O OOML","$"
"   O OOMM",": "
"   N OOMM"," "
"   O OOMO","h"
"   N OOMO","4"
"   O OOMR","^"
"   O OOOL"," "
"   N OOOL","<F8>"
"   O OOOM","<NumLock>"
"   N OOOM","8"
"   O OOOR","<Backspace>"
"   N OOOR","<LeftArrow>"
"   O OORO","a"
"   N OORO","<RightArrow>"
"   O OORR",""""
"   N OORR","<PageDown>"
"   O ORMO","!"
"   O OROO","n"
"   N OROO","<DownArrow>"
"   O OROR","`"
"   N OROR","<KP/>"
"   O ORRO","f"
"   N ORRO","<KP->"
"   O ORRR","z"
"   N ORRR","<End>"
"   O RMOO","#"
"   O ROLO","&"
"   O ROOL","/"
"   O ROOM","<Right Ctrl>c</Right Ctrl>"
"   O ROOO","i"
"   N ROOO","<UpArrow>"
"   O ROOR","c"
"   N ROOR","<KP*>"
"   O RORO","j"
"   N RORO","<KP+>"
"   O RORR","Z"
"   N RORR","<KP=>"
"   O RROO","'"
"   N RROO","<PageUp>"
"   O RROR","I "
"   N RROR","<KP.>"
"   O RRRO","b"
"   N RRRO","<Home>"
"   O RRRR","ing "
"   N RRRR","<KPEnter>"
